episode,accuracy,f1
0,0.4990954531614737,0.4970582740019802
1,0.4996485841875571,0.499656274199737
2,0.5002112300822085,0.5002301221523267
3,0.4997342180046686,0.4997510501771427
4,0.4991880645488684,0.4991976189608855
5,0.5000976859839643,0.500092991896791
6,0.5005023850603877,0.5004980398460448
7,0.5001395514056632,0.5001519463839772
8,0.5014062975743429,0.5014209874054812
9,0.4996454125647011,0.4996602173306053
10,0.5001135440982442,0.5001242517623229
11,0.4992876535065462,0.4992790503270988
12,0.5011271947630164,0.5011259882945147
13,0.5005651831929362,0.5005695649526699
14,0.4998845529280422,0.499891906615157
15,0.5000171267634224,0.5000284732967561
16,0.5001091038262458,0.500118355733535
17,0.4998376129097737,0.4998452262572516
18,0.499519181975033,0.4995256241086893
19,0.5003108190398863,0.5003209430326038
20,0.5000862681416828,0.5000961857180187
21,0.4997304120572414,0.4997438198334259
22,0.5003482441895869,0.500371163915608
23,0.5000653354308332,0.5000732533513418
24,0.4995033238607531,0.4995111036193815
25,0.5003634679792957,0.5003605576421312
26,0.5007643611082919,0.5007621144470871
27,0.5003977215061403,0.5004059720598417
28,0.501590886024561,0.5015915299162017
29,0.5000114178422815,0.5000152991715113
30,0.5005302953415204,0.5005125541126259
31,0.4993669440779458,0.4993597671947657
32,0.5012978280726682,0.5013053639675427
33,0.5008335024865523,0.5008283344180635
34,0.5002315284684867,0.5002374360352166
35,0.5002575357759058,0.5002660293658675
36,0.5004154825941338,0.5004294139948132
37,0.500032350553131,0.5000457013111766
38,0.4998686948137623,0.4998842566814868
39,0.5006203694306303,0.5006277863026766
40,0.5003755201461484,0.5003622288844602
41,0.5000767532731147,0.5000839417140498
42,0.5007789505734294,0.5007893271210689
43,0.5003691769004364,0.5003808769349701
44,0.4998712321120471,0.49987236904133453
45,0.5004567136912615,0.5004620116566046
46,0.5009755911905004,0.5009793370583577
47,0.5005962650969248,0.5006102356108414
48,0.5019036080381609,0.5019152341196143
49,0.5002537298284786,0.5002615759841141
50,0.5007383538008728,0.500731586706429
51,0.4997748147772252,0.49976686220492944
52,0.501568050339998,0.5015833086298476
53,0.5010910382624582,0.5010914963125653
54,0.5005854815792145,0.5005858829495339
55,0.500532198315234,0.5005329832545912
56,0.5006926824317467,0.5006889470608318
57,0.5004205571907033,0.5004244501093111
58,0.5001471633005176,0.5001469641681804
59,0.5009793971379275,0.5009802071858445
