,2,0,1
VIB,0.4377142857142857,0.4045714285714286,0.15771428571428572
VCB,0.41828571428571426,0.38742857142857146,0.19428571428571428
HPG,0.43314285714285716,0.4034285714285714,0.16342857142857142
HDB,0.40914285714285714,0.4114285714285714,0.17942857142857144
VIC,0.3222857142857143,0.368,0.3097142857142857
VJC,0.352,0.38171428571428573,0.2662857142857143
VHM,0.384,0.3942857142857143,0.22171428571428572
BVH,0.416,0.4342857142857143,0.14971428571428572
MSN,0.38742857142857146,0.4228571428571429,0.18971428571428572
PDR,0.376,0.38857142857142857,0.23542857142857143
BCM,0.38857142857142857,0.4125714285714286,0.19885714285714284
SAB,0.3554285714285714,0.3851428571428571,0.25942857142857145
TPB,0.4137142857142857,0.3577142857142857,0.22857142857142856
SSI,0.42514285714285716,0.4377142857142857,0.13714285714285715
GVR,0.464,0.4228571428571429,0.11314285714285714
VRE,0.43885714285714283,0.4308571428571429,0.13028571428571428
GAS,0.42628571428571427,0.41485714285714287,0.15885714285714286
TCB,0.40685714285714286,0.3942857142857143,0.19885714285714284
PLX,0.38857142857142857,0.4,0.21142857142857144
FPT,0.432,0.36114285714285715,0.20685714285714285
MBB,0.42857142857142855,0.3782857142857143,0.19314285714285714
POW,0.42628571428571427,0.47314285714285714,0.10057142857142858
ACB,0.448,0.424,0.128
BID,0.43885714285714283,0.41485714285714287,0.1462857142857143
STB,0.45714285714285713,0.4491428571428571,0.09371428571428571
VNM,0.384,0.41942857142857143,0.19657142857142856
MWG,0.4491428571428571,0.3851428571428571,0.1657142857142857
NVL,0.37142857142857144,0.3588571428571429,0.26971428571428574
VPB,0.4502857142857143,0.41714285714285715,0.13257142857142856
CTG,0.42857142857142855,0.432,0.13942857142857143
vn30_test,0.41421568627450983,0.43758169934640523,0.14820261437908497
