,2,0,1
VIB,0.392,0.3497142857142857,0.2582857142857143
VCB,0.3497142857142857,0.34514285714285714,0.30514285714285716
HPG,0.37942857142857145,0.352,0.26857142857142857
HDB,0.3474285714285714,0.3394285714285714,0.31314285714285717
VIC,0.2662857142857143,0.2937142857142857,0.44
VJC,0.2765714285714286,0.30742857142857144,0.416
VHM,0.32457142857142857,0.3314285714285714,0.344
BVH,0.36914285714285716,0.3954285714285714,0.23542857142857143
MSN,0.3394285714285714,0.38057142857142856,0.28
PDR,0.3177142857142857,0.29828571428571427,0.384
BCM,0.33485714285714285,0.3417142857142857,0.32342857142857145
SAB,0.2925714285714286,0.31542857142857145,0.392
TPB,0.34285714285714286,0.2937142857142857,0.36342857142857143
SSI,0.37942857142857145,0.37257142857142855,0.248
GVR,0.4308571428571429,0.4022857142857143,0.16685714285714287
VRE,0.384,0.3702857142857143,0.24571428571428572
GAS,0.3657142857142857,0.36457142857142855,0.26971428571428574
TCB,0.35085714285714287,0.3394285714285714,0.3097142857142857
PLX,0.32685714285714285,0.3382857142857143,0.33485714285714285
FPT,0.368,0.3062857142857143,0.32571428571428573
MBB,0.36114285714285715,0.31885714285714284,0.32
POW,0.36914285714285716,0.392,0.23885714285714285
ACB,0.3325714285714286,0.31542857142857145,0.352
BID,0.3862857142857143,0.3565714285714286,0.2571428571428571
STB,0.368,0.344,0.288
VNM,0.296,0.3497142857142857,0.35428571428571426
MWG,0.37485714285714283,0.31314285714285717,0.312
NVL,0.2914285714285714,0.26971428571428574,0.43885714285714283
VPB,0.38857142857142857,0.36114285714285715,0.2502857142857143
CTG,0.36342857142857143,0.37485714285714283,0.26171428571428573
vn30_test,0.3633986928104575,0.3866013071895425,0.25
