date,open,high,low,close,volume
1999-01-04,7.396785,7.485688,7.290101,7.290101,1423500
1999-01-05,7.325664,7.396787,7.218979,7.361226,869700
1999-01-06,7.361222,7.432344,7.005607,7.432344,802500
1999-01-07,7.254538,7.467906,7.254538,7.414564,463200
1999-01-08,7.379001,7.467905,7.307879,7.325659,453900
1999-01-11,7.254541,7.379006,7.094514,7.094514,552600
1999-01-12,7.183416,7.183416,6.898923,6.898923,407700
1999-01-13,6.863361,7.076730,6.685554,7.005607,553200
1999-01-14,6.934484,7.112291,6.934484,7.005607,308400
1999-01-15,7.112293,7.503470,7.076733,7.396786,1381200
1999-01-19,7.396784,7.432345,7.290099,7.414564,1676400
1999-01-20,7.379002,7.521249,7.361222,7.414564,1267800
1999-01-21,7.396788,7.574595,7.396788,7.539033,1007100
1999-01-22,7.396786,7.503470,7.254539,7.254539,717900
1999-01-25,7.290101,7.361223,7.183416,7.290101,614400
1999-01-26,7.290101,7.361223,7.218977,7.272319,473100
1999-01-27,7.325660,7.539029,7.290099,7.414564,1560600
1999-01-28,7.379006,7.574594,7.379006,7.521252,1387200
1999-01-29,7.503468,7.823521,7.450125,7.823521,1050000
1999-02-01,7.787966,7.823527,7.610158,7.610158,764100
1999-02-02,7.574591,7.681276,7.521249,7.645714,235800
1999-02-03,7.539029,7.752398,7.485687,7.592371,655200
1999-02-04,7.503472,7.645717,7.503472,7.521252,314400
1999-02-05,7.503472,7.716841,7.503472,7.699059,1133100
1999-02-08,7.681278,7.787963,7.681278,7.681278,1150500
1999-02-09,7.610156,7.690169,7.574594,7.681278,876000
1999-02-10,7.645714,7.681276,7.539030,7.556811,816900
1999-02-11,7.539036,7.645720,7.539036,7.627940,1230300
1999-02-12,7.574591,7.645714,7.556811,7.556811,198000
1999-02-16,7.574591,7.716837,7.574591,7.645714,756300
1999-02-17,7.699062,7.699062,7.396790,7.450132,1026600
1999-02-18,7.467913,7.556817,7.432351,7.450132,1261200
1999-02-19,7.503469,7.627934,7.432345,7.556811,330600
1999-02-22,7.539033,7.574595,7.539033,7.547924,966900
1999-02-23,7.503470,7.556812,7.467908,7.503470,386100
1999-02-24,7.450128,7.539031,7.396786,7.396786,772800
1999-02-25,7.361224,7.361224,7.130075,7.254539,243000
1999-02-26,7.272320,7.325662,7.183417,7.254539,450900
1999-03-01,7.183418,7.361226,7.112295,7.361226,461100
1999-03-02,7.361224,7.396786,7.147855,7.254539,102000
1999-03-03,7.325659,7.396783,7.218975,7.325659,141300
1999-03-04,7.412618,7.412618,7.234429,7.341342,207000
1999-03-05,7.341343,7.519532,7.270068,7.466075,397500
1999-03-08,7.483895,7.483895,7.305708,7.483895,423600
1999-03-09,7.341344,7.385891,7.270069,7.287888,623400
1999-03-10,7.270069,7.341344,7.234431,7.287888,1362300
1999-03-11,7.270064,7.359158,7.234426,7.270064,414000
1999-03-12,7.234431,7.252251,7.198794,7.234431,514500
1999-03-15,7.198792,7.234430,7.127517,7.163155,130200
1999-03-16,7.127521,7.203251,7.091884,7.127521,435900
1999-03-17,7.127519,7.127519,7.038425,7.074062,226500
1999-03-18,7.020608,7.163158,6.984971,7.127521,261900
1999-03-19,7.020605,7.056243,6.913692,6.913692,535800
1999-03-22,6.878054,6.984966,6.788959,6.842416,964200
1999-03-23,6.878052,6.878052,6.111844,6.307851,2050800
1999-03-24,6.557315,6.788959,6.486039,6.788959,814800
1999-03-25,6.699865,6.913691,6.699865,6.806778,1153800
1999-03-26,6.771142,6.842417,6.699867,6.735505,1491900
1999-03-29,6.699864,6.771140,6.699864,6.717684,280500
1999-03-30,6.699867,6.771143,6.557317,6.619682,1491900
1999-03-31,6.557315,6.664228,6.557315,6.628590,1092300
1999-04-01,6.610773,6.664230,6.557317,6.592954,1132500
1999-04-05,6.592954,6.682048,6.557317,6.592954,644400
