date,open,high,low,close,volume
1999-01-04,54.401194,56.183956,54.077055,56.183956,3820193
1999-01-05,55.751770,58.993156,55.643725,58.777061,4142494
1999-01-06,59.425339,59.803497,57.534532,58.777061,4075497
1999-01-07,57.588550,59.371307,57.534525,58.993149,3008758
1999-01-08,60.019613,61.370188,59.317316,60.181683,4355593
1999-01-11,60.505770,61.802323,59.857493,60.343700,3413149
1999-01-12,60.613872,60.667897,58.290881,58.344906,4472342
1999-01-13,56.940250,62.126460,56.400018,61.262089,5204507
1999-01-14,61.802341,61.802341,57.264407,57.480495,9231248
1999-01-15,59.155224,60.073615,58.723036,59.533382,3837771
1999-01-19,60.127658,60.451797,58.128807,60.073639,2581731
1999-01-20,60.721889,62.612691,60.289701,61.856369,5010976
1999-01-21,61.208103,61.802361,58.777069,59.425346,2240690
1999-01-22,58.344872,60.397748,57.912689,59.641426,2103792
1999-01-25,59.803503,60.505805,59.749484,60.289711,2375431
1999-01-26,60.289701,62.666715,60.073612,61.856369,2945658
1999-01-27,62.396616,62.828799,60.937992,60.937992,2322944
1999-01-28,61.370178,63.044896,61.370178,62.666733,2369544
1999-01-29,62.666740,63.531111,62.072487,62.450645,2413242
1999-02-01,62.504650,62.720744,60.235685,60.397755,1564909
1999-02-02,59.965553,60.397742,58.777049,59.965553,1844011
1999-02-03,59.533354,60.343700,58.939102,60.343700,2258020
1999-02-04,59.749468,60.289696,58.128776,58.831078,1992682
1999-02-05,57.912691,58.128780,55.643721,57.426483,2596905
1999-02-08,58.777051,59.587398,57.912685,59.047165,2405696
1999-02-09,59.641424,60.343721,57.048316,57.102341,3114644
1999-02-10,57.102351,57.372465,55.589703,56.562119,2738778
1999-02-11,57.588572,58.560983,57.102364,58.128799,2473026
1999-02-12,57.588555,58.344876,56.183956,56.183956,2630404
1999-02-16,57.048319,57.264413,55.049468,56.237972,1870627
1999-02-17,56.237944,57.210359,54.725302,54.887371,2855941
1999-02-18,56.183929,58.182779,55.049444,57.372433,3099885
1999-02-19,57.048320,59.317290,56.940275,58.236824,1779418
1999-02-22,58.777045,60.451757,58.182793,60.235668,2278998
1999-02-23,59.857509,60.667855,59.209232,59.965553,1888703
1999-02-24,60.667856,64.341419,60.559812,62.558662,6201594
1999-02-25,61.802352,62.126491,60.721892,61.910397,3034877
1999-02-26,60.775905,60.883949,58.993148,60.721886,2691680
1999-03-01,60.181642,60.181642,58.020722,58.723019,2399809
1999-03-02,59.533396,60.019604,58.128797,58.398911,2237622
1999-03-03,58.452940,59.263287,56.616158,57.318455,2485961
1999-03-04,57.102331,58.993138,56.508074,57.912678,2074191
