episode,accuracy,f1
0,0.5046455609084652,0.4761088438417896
1,0.4993306951135581,0.4935650655987156
2,0.5000920509291121,0.5001268481285398
3,0.4993523809523809,0.5000548525990774
4,0.4999690295939435,0.5000103799582993
5,0.500027529249828,0.5000737834952386
6,0.4999495159714981,0.4999923284085421
7,0.4999793942740809,0.5000245235367828
8,0.5003271158989661,0.5003764695353341
9,0.5003853270746875,0.5004425078493168
10,0.4999742428426011,0.5000237126342044
11,0.5002220266967785,0.5002703292419709
12,0.5005620211744439,0.5006100968700972
13,0.500328146185262,0.5003811888471069
14,0.5000824229036764,0.500132121619748
15,0.5000587263188695,0.5001059518716962
16,0.5005002039966866,0.5005433392287987
17,0.5012425252729228,0.5012913674107554
18,0.5007351092721646,0.5007763917502397
19,0.5001045740590395,0.5001514479235666
20,0.500888621930262,0.5009322198224652
21,0.5002513898562132,0.5002983292702725
22,0.4996157032116084,0.4996528343353355
23,0.4997996093154366,0.499846144085231
24,0.5001205434966268,0.5001681384268754
25,0.5001669063799449,0.5002118463503086
26,0.500303419314159,0.500357629449695
27,0.5001231192123667,0.5001623798439851
28,0.5004574471154044,0.5005088673311033
29,0.500537809446489,0.5005844317686078
30,0.5000613020346094,0.5001086129129122
31,0.500282298445092,0.5003286872921777
32,0.5001019983432996,0.5001436598999569
33,0.5005161734342739,0.5005645841556444
34,0.5006058083420221,0.5006568110343222
35,0.5001942089667877,0.5002387600638389
36,0.5003786302137638,0.5004128188660449
37,0.5002271781282582,0.5002635694834823
38,0.5006305352131251,0.5006764364726263
39,0.500725836695501,0.5007741838486964
40,0.5002694198663925,0.5003118926120741
41,0.5004296293854136,0.500470383483455
42,0.5009087125130331,0.5009522238230304
43,0.5006006569105423,0.5006476048169936
44,0.5003425701934053,0.5003882543224165
45,0.5003394793345175,0.5003791606487821
46,0.500748502994012,0.5007831305630173
47,0.501660821509081,0.5017018388119154
48,0.5010462557335432,0.5010792603438643
49,0.5003693576371002,0.5004176993210123
50,0.5012172832586719,0.5012620677244444
51,0.5006042629125782,0.5006541636988119
52,0.4998717293561535,0.4999109697467263
53,0.500044302310726,0.5000887396735664
54,0.5005512031683365,0.5005972101704714
55,0.5006583529431158,0.5007089435777244
56,0.5007186246914292,0.5007737412253231
